//////////// EXP 2 /////////////////
Date, Id, Method, Action, Failure/Success, Duration, Reasons of failure, Notes
// ex: 01/01/2000, MarcD, A2, RETRIEVE, 3.15, No, NA, NA 
// Study with 6 people from the class
16/12/2022, P1, A1, ANY, S, 7.5, AirDrop - other recipient known
16/12/2022, P2, A3, ANY, F, 0, Mismatched gesture
16/12/2022, P2, A3, ANY, F, 0, Mismatched gesture
16/12/2022, P2, A3, ANY, F, 0, Mismatched gesture
16/12/2022, P2, A3, ANY, F, 0, Mismatched gesture
16/12/2022, P2, A3, ANY, F, 0, Mismatched gesture
16/12/2022, P1, A3, ANY, S, 2.5
16/12/2022, P1, A3, ANY, S, 2.2
16/12/2022, P1, A3, ANY, S, 2.1
16/12/2022, P1, A3, ANY, S, 3.1
16/12/2022, P2, A3, ANY, S, 2.9
16/12/2022, P2, A3, ANY, S, 3.0
16/12/2022, P1, A1, ANY, S, 9.0, Bluetooth - asking the other recipient what their device is
16/12/2022, P3, A3, ANY, S, 2.7
16/12/2022, P3, A3, ANY, S, 2.4
16/12/2022, P3, A3, ANY, S, 2.4
16/12/2022, P3, A1, ANY, S, 7.2, Bluetooth - knowing the other recipient
16/12/2022, P3, A1, ANY, S, 7.0, Bluetooth - knowing the other recipient
16/12/2022, P4, A3, ANY, F, 0, Mismatched gesture
16/12/2022, P4, A3, ANY, F, 0, Mismatched gesture
16/12/2022, P4, A3, ANY, S, 3.3
16/12/2022, P4, A3, ANY, S, 2.8
16/12/2022, P6, A3, ANY, S, 3.1
16/12/2022, P5, A3, ANY, F, 0, Mismatched gesture
16/12/2022, P5, A3, ANY, F, 0, Mismatched gesture
16/12/2022, P5, A3, ANY, F, 0, Mismatched gesture
16/12/2022, P6, A1, ANY, S, 12, Bluetooth - removed the time for asking the device name and understanding how it works (50 s else)
16/12/2022, P4, A1, ANY, S, 15, Bluetooth - with asking the device name
16/12/2022, P4, A1, ANY, S, 13, Bluetooth - with asking the device name
//Julien - 3 from family
16/12/2022, P7, A1, ANY, S, 16, Bluetooth - with asking the device name
16/12/2022, P7, A1, ANY, S, 13, Bluetooth - knowing the other recipient
23/12/2022, P7, A3, ANY, F, 0
23/12/2022, P7, A3, ANY, S, 3.4
23/12/2022, P7, A3, ANY, S, 2.4
23/12/2022, P7, A3, ANY, S, 2.8
23/12/2022, P8, A1, ANY, S, 10, Bluetooth - knowing the other recipient
23/12/2022, P8, A3, ANY, S, 3.1
23/12/2022, P8, A3, ANY, S, 2.7
23/12/2022, P8, A3, ANY, S, 2.1
23/12/2022, P9, A1, ANY, S, 6.5, AirDrop - knowing the other recipient
23/12/2022, P9, A1, ANY, S, 6, AirDrop - knowing the other recipient
23/12/2022, P9, A3, ANY, S, 2.9
23/12/2022, P9, A3, ANY, S, 2.4
23/12/2022, P9, A3, ANY, S, 2.2
// todo Julien - 3-5 friends
//Friends DE 2 
28/12/2022, P10, A1, ANY, S, 15.13
28/12/2022, P10, A1, ANY, S, 10.62
28/12/2022, P10, A1, ANY, S, 10.33
28/12/2022, P10, A1, ANY, S, 10.26
28/12/2022, P10, A1, ANY, S, 8.23
28/12/2022, P10, A1, ANY, S, 7.88
28/12/2022, P10, A3, ANY, S, 8
28/12/2022, P10, A3, ANY, S, 8.57
28/12/2022, P10, A3, ANY, S, 9.76
28/12/2022, P10, A3, ANY, S, 6.28
28/12/2022, P10, A3, ANY, S, 4.27
28/12/2022, P10, A3, ANY, S, 15.57
28/12/2022, P10, A3, ANY, S, 10.8
28/12/2022, P11, A3, ANY, S, 6.23
28/12/2022, P11, A3, ANY, S, 7.56
28/12/2022, P11, A3, ANY, S, 3.79
28/12/2022, P11, A3, ANY, S, 5.5
28/12/2022, P11, A3, ANY, S, 2.58
28/12/2022, P11, A3, ANY, S, 3.70
28/12/2022, P11, A1, ANY, S, 9.00
28/12/2022, P11, A1, ANY, S, 6.16
28/12/2022, P11, A1, ANY, S, 6.21
28/12/2022, P11, A1, ANY, S, 4.58
28/12/2022, P11, A1, ANY, S, 5.55
28/12/2022, P11, A1, ANY, S, 2.96
//Family Pia
26/12/2022, P12, A1, ANY, F, 0, Bluetooth takes long to detect devices
28/12/2022, P12, A1, ANY, F, 0, Bluetooth takes long to detect devices
28/12/2022, P12, A1, ANY, F, 0, Bluetooth takes long to detect devices
28/12/2022, P13, A1, ANY, S, 11.0
28/12/2022, P13, A1, ANY, S, 15.2
28/12/2022, P13, A1, ANY, S, 9.0
28/12/2022, P13, A1, ANY, F, 0.0, not sending
28/12/2022, P13, A1, ANY, S, 11.0
28/12/2022, P13, A3, ANY, F, 0.0, mismatched gesture
28/12/2022, P13, A3, ANY, S, 4.7
28/12/2022, P13, A3, ANY, S, 3.8
28/12/2022, P13, A3, ANY, S, 2.8
28/12/2022, P13, A3, ANY, F, 0.0, mismatched gesture
28/12/2022, P12, A3, ANY, F, 0.0, mismatched gesture
28/12/2022, P12, A3, ANY, S, 3.5
28/12/2022, P12, A3, ANY, S, 3.0
28/12/2022, P12, A3, ANY, S, 10.0
28/12/2022, P12, A3, ANY, S, 3.2
28/12/2022, P12, A3, ANY, S, 2.8
28/12/2022, P12, A3, ANY, S, 2.2
